relation,postag1,postag2,entity1,entity2,reverse,prediction
PART_WHOLE,NNS,NNP,abstracts,Web,FALSE,PART_WHOLE
USAGE,NNS,NNS,knowledge sources,feature functions,FALSE,MODEL-FEATURE
USAGE,NN,NN,MT system,parallel corpus,TRUE,USAGE
PART_WHOLE,NNS,NN,hierarchical relations,thesaurus construction,FALSE,PART_WHOLE
USAGE,NN,NN,CoNLL 2008 shared task,generative history-based latent variable model,TRUE,USAGE
MODEL-FEATURE,NNS,NN,unknown words,context,TRUE,MODEL-FEATURE
MODEL-FEATURE,VB,NN,Turkish,agglutinative language,FALSE,MODEL-FEATURE
MODEL-FEATURE,NNS,NNS,languages,grammatical frameworks,FALSE,MODEL-FEATURE
MODEL-FEATURE,NN,NNS,surface representation,domain entities,FALSE,MODEL-FEATURE
COMPARE,NNS,NNS,rankings,official rankings,FALSE,MODEL-FEATURE
PART_WHOLE,NNS,NNS,sentences,chunks of words,TRUE,PART_WHOLE
USAGE,NN,NNS,Automatic Speech Recognition technology,dialog systems,FALSE,MODEL-FEATURE
USAGE,NNS,NNS,semantic constraints,anaphora references,FALSE,MODEL-FEATURE
COMPARE,NNS,NNS,trainable components,hand-crafted template-based or rule-based approaches,FALSE,MODEL-FEATURE
PART_WHOLE,NNS,NNP,word forms,Czech,FALSE,PART_WHOLE
MODEL-FEATURE,NN,NNS,intentional structure,discourse-relevant purposes,FALSE,MODEL-FEATURE
USAGE,NN,NN,educational tool,protocol analysis,FALSE,USAGE
USAGE,NN,NN,natural language processing,speech understanding,FALSE,USAGE
MODEL-FEATURE,NN,NNS,lexical coverage,MT systems,FALSE,MODEL-FEATURE
PART_WHOLE,VBZ,NNS,sentences,words,TRUE,MODEL-FEATURE
MODEL-FEATURE,NN,NNS,translation,words,FALSE,MODEL-FEATURE
MODEL-FEATURE,NN,NNS,interpretation,conceptual operations,FALSE,MODEL-FEATURE
USAGE,JJ,JJ,vocabulary,target vocabulary,FALSE,PART_WHOLE
MODEL-FEATURE,NNS,NN,temporal expressions,genre,TRUE,PART_WHOLE
USAGE,NN,NNS,mutual information,error-correction rules,FALSE,MODEL-FEATURE
MODEL-FEATURE,NNS,NNS,hierarchical (or other types of) relations,terms,FALSE,MODEL-FEATURE
USAGE,VBG,NNP,parsing,PCFG-LA,TRUE,USAGE
USAGE,NN,NNS,boosting approach,ranking problems,FALSE,MODEL-FEATURE
PART_WHOLE,NNS,NN,Spelling-checkers,text processing software,FALSE,PART_WHOLE
RESULT,NN,NN,tagger,accuracy,FALSE,RESULT
USAGE,NN,NNS,phrase-based statistical machine translation method,non-contiguous phrases,TRUE,USAGE
PART_WHOLE,NNS,NN,specific heuristics,multi-strategy framework,FALSE,PART_WHOLE
MODEL-FEATURE,NNS,NN,defeat rules,defeasibility,FALSE,PART_WHOLE
USAGE,NNS,JJ,block selection criteria,unigram,TRUE,PART_WHOLE
PART_WHOLE,NNS,NN,projection of structures,lexicon,FALSE,PART_WHOLE
USAGE,NNS,NN,parsing strategies,types of knowledge,TRUE,USAGE
PART_WHOLE,NN,NNP,restricted subset,English,FALSE,PART_WHOLE
USAGE,NN,NN,KL-ONE style representation,parsing,FALSE,USAGE
MODEL-FEATURE,NN,NN,robustness,linguistic processing,FALSE,USAGE
USAGE,NNS,NNS,representations,"""English"," Arabic and Spanish lexicons""",FALSE,COMPARE
USAGE,NNS,NN,reasoning with dispositions,fuzzy syllogism,TRUE,PART_WHOLE
USAGE,NNS,NN,model parameters,vocabulary,FALSE,PART_WHOLE
PART_WHOLE,NNS,NNS,non-terminals,category labels,TRUE,MODEL-FEATURE
PART_WHOLE,NNS,NN,utterances,discourse,FALSE,MODEL-FEATURE
PART_WHOLE,NNS,NN,qualitative spatial constraints,text,FALSE,PART_WHOLE
USAGE,NN,NNS,parser,bit-vector operations,TRUE,USAGE
MODEL-FEATURE,NN,NN,probabilistic spectral mapping,training (reference) speaker,FALSE,USAGE
MODEL-FEATURE,NNS,NN,feature structures,logical formulas,FALSE,PART_WHOLE
USAGE,NN,NN,unlexicalized PCFG parser,manual feature selection,TRUE,USAGE
USAGE,NN,NN,trainable sentence planner,spoken dialogue system,FALSE,USAGE
USAGE,NNP,NNS,LR-parser,CF grammars,FALSE,COMPARE
USAGE,NN,NNS,text model,user-directed summaries,FALSE,MODEL-FEATURE
TOPIC,NNS,NN,definitions,analysis mechanism,TRUE,PART_WHOLE
MODEL-FEATURE,NNS,NNP,documents,Arabic,TRUE,PART_WHOLE
PART_WHOLE,NNP,NN,MWEs,corpus text,FALSE,USAGE
USAGE,NN,NN,HMM-based chunk tagger,named entity (NE) recognition (NER) system,FALSE,USAGE
MODEL-FEATURE,NN,RB,generative model,field structured text,FALSE,RESULT
USAGE,NN,NNS,hybrid generator,statistical methods,TRUE,USAGE
USAGE,NNS,NN,Memo-functions,parse forest,FALSE,PART_WHOLE
MODEL-FEATURE,NN,NN,ambiguity,semantic annotation,FALSE,MODEL-FEATURE
COMPARE,NN,NN,sentence plan,top human-ranked sentence plan,FALSE,USAGE
PART_WHOLE,NNS,NN,intentions,discourse,FALSE,MODEL-FEATURE
PART_WHOLE,NN,NNS,reduplication,context-free languages,FALSE,MODEL-FEATURE
MODEL-FEATURE,JJ,JJ,classifier,concrete noun,FALSE,PART_WHOLE
RESULT,NN,NNP,model,F-measure,FALSE,PART_WHOLE
PART_WHOLE,NN,NN,latent variable,model,FALSE,USAGE
PART_WHOLE,NN,NN,event,sentence,FALSE,MODEL-FEATURE
MODEL-FEATURE,NNS,NNS,meanings,lexical items,FALSE,MODEL-FEATURE
USAGE,NNS,NN,heuristic rules,knowledge engineering,TRUE,PART_WHOLE
USAGE,NN,NNP,syntactic analyzer,Procedural Systemic Grammar,TRUE,USAGE
PART_WHOLE,NN,NN,sentence,verb,TRUE,MODEL-FEATURE
COMPARE,NN,RB,rank,entropy,FALSE,RESULT
MODEL-FEATURE,NN,NNS,presuppositional nature,sentences,FALSE,MODEL-FEATURE
USAGE,NN,NNS,polarization,elementary structures,FALSE,MODEL-FEATURE
MODEL-FEATURE,NNS,NNP,highly inflective languages,Czech,FALSE,PART_WHOLE
RESULT,NN,NN,method,TRDR score,FALSE,COMPARE
MODEL-FEATURE,NN,NN,meaning,proposition,FALSE,MODEL-FEATURE
MODEL-FEATURE,NN,NN,event structure,text,FALSE,PART_WHOLE
MODEL-FEATURE,NNS,NNS,features,linguistic objects,FALSE,MODEL-FEATURE
MODEL-FEATURE,NN,NN,spoken language corpus,ATIS (Air Travel Information System) domain,TRUE,USAGE
USAGE,NN,NN,prototype system,industry watch,FALSE,USAGE
USAGE,NN,VBG,feature structure unification,parsing,FALSE,RESULT
COMPARE,NNS,NN,traditional knowledge-based techniques,corpus-based approach,FALSE,PART_WHOLE
USAGE,NNS,NNS,statistical models,structured data,FALSE,MODEL-FEATURE
USAGE,NN,NN,extraction tool,German text corpora,FALSE,USAGE
USAGE,NN,NN,English-Japanese machine translation,syntax directed approach,TRUE,USAGE
PART_WHOLE,NN,NN,verb,training corpus,FALSE,PART_WHOLE
PART_WHOLE,NN,NNS,textual corpus,derived strings,TRUE,USAGE
COMPARE,NN,NN,resolution component,syntactic analysis,FALSE,USAGE
PART_WHOLE,NNS,NN,syntactically motivated relations,discourse,FALSE,MODEL-FEATURE
RESULT,NNS,NN,credibility indicators,retrieval effectiveness,FALSE,PART_WHOLE
USAGE,NN,NN,speaker-independent (SI) training,speech,TRUE,USAGE
USAGE,NNP,NNS,TAP-XL Automated Analyst's Assistant,"""multilingual"," multimedia data""",TRUE,COMPARE
PART_WHOLE,NNS,NNS,sentences,verbs,TRUE,MODEL-FEATURE
COMPARE,JJ,NN,syntax,semantic interpretation,FALSE,MODEL-FEATURE
USAGE,NNS,NN,training techniques,decision-making,FALSE,PART_WHOLE
PART_WHOLE,NN,NNS,discourse,utterances,TRUE,MODEL-FEATURE
USAGE,NN,NN,unsupervised learning,morphological and syntactic information,TRUE,USAGE
USAGE,NN,VBG,data representation,chunking,FALSE,RESULT
USAGE,NNS,NNS,phrase boundary heuristics,function words,TRUE,MODEL-FEATURE
MODEL-FEATURE,NNP,NN,Turkish,agglutinating free word order language,TRUE,USAGE
USAGE,NNP,NN,WordNet,semantic distance,FALSE,PART_WHOLE
RESULT,NN,NN,duration model,error rate,FALSE,USAGE
USAGE,NN,NNS,thematic grid tagging,LCS representations,FALSE,MODEL-FEATURE
MODEL-FEATURE,NN,NNS,verb final language,overt case markers,TRUE,USAGE
USAGE,NN,NNP,word significance,speech-based Information Retrieval,FALSE,PART_WHOLE
USAGE,NN,NN,system,multi-component architecture,TRUE,USAGE
USAGE,NN,NN,Large-scale natural language generation,knowledge,TRUE,USAGE
USAGE,NN,VBG,multi-tagging approach,ccg parsing,FALSE,RESULT
COMPARE,NNP,NNP,HPSG,LTAG,FALSE,PART_WHOLE
MODEL-FEATURE,NNS,NN,collection of relations and operations,task representation,FALSE,PART_WHOLE
MODEL-FEATURE,NN,NNS,similarity,words,FALSE,MODEL-FEATURE
COMPARE,NNP,NNS,SMT,rule-based translation systems,FALSE,COMPARE
PART_WHOLE,NNS,NNS,reduplications,natural languages,FALSE,MODEL-FEATURE
MODEL-FEATURE,NNS,NNS,documents,genres,TRUE,MODEL-FEATURE
RESULT,VBG,NNS,user modeling,systems,FALSE,USAGE
USAGE,NN,NN,machine transliteration/backtransliteration,direct orthographical mapping,FALSE,USAGE
USAGE,NN,NNS,lemma-based model,Dutch Senseval-2 test data,FALSE,MODEL-FEATURE
USAGE,NN,NN,DoPS system,target document,FALSE,USAGE
TOPIC,NN,NNP,speech and text image processing,Xerox PARC,TRUE,USAGE
MODEL-FEATURE,NN,NN,temporary belief,world,FALSE,MODEL-FEATURE
PART_WHOLE,NNS,NNS,path values,disjunctions,FALSE,MODEL-FEATURE
PART_WHOLE,NN,NN,embodied conversational agent,dialogue system,FALSE,USAGE
USAGE,NN,NNS,event map,documents,TRUE,USAGE
USAGE,NN,NN,error correction,ill-formed input,FALSE,USAGE
USAGE,NNS,NNS,on-line encyclopedias and dictionaries,positive and negative definition examples,FALSE,MODEL-FEATURE
USAGE,NN,NN,two-phase shift-reduce dependency parser,SVM learning,TRUE,USAGE
PART_WHOLE,NN,NNS,graph,translation hypotheses,TRUE,USAGE
USAGE,NN,NNS,sublanguage,unknown words,FALSE,PART_WHOLE
PART_WHOLE,NNS,NN,cooccurrence patterns,corpus,FALSE,PART_WHOLE
USAGE,NNS,NNS,rules,segmented strings,FALSE,USAGE
PART_WHOLE,NNS,NNS,rules,deterministic parsers,FALSE,USAGE
USAGE,VBG,NN,decoding,dynamic programming,TRUE,USAGE
PART_WHOLE,NNS,NN,data,test corpora,FALSE,PART_WHOLE
MODEL-FEATURE,NNS,NN,genre-specific regularities,discourse structure,FALSE,PART_WHOLE
USAGE,NNS,NNS,bag-of-words and segment order-sensitive string comparison methods,character- and word-segmented data,FALSE,MODEL-FEATURE
COMPARE,NN,NNP,HBG model,P-CFG,FALSE,PART_WHOLE
MODEL-FEATURE,NN,NN,connectivity,dependency tree,FALSE,USAGE
USAGE,NN,NN,tool,linguistic annotation,FALSE,USAGE
MODEL-FEATURE,NN,NNS,meaning,units,FALSE,MODEL-FEATURE
PART_WHOLE,NNS,NNS,constructions,conjuncts,TRUE,PART_WHOLE
MODEL-FEATURE,NNP,NN,SSTC,sentence,FALSE,MODEL-FEATURE
PART_WHOLE,NNS,NNP,discourse relations,Czech,FALSE,PART_WHOLE
USAGE,NN,NNS,transformation model,answer/question terms,FALSE,MODEL-FEATURE
MODEL-FEATURE,NN,NN,computational complexity,unification,FALSE,USAGE
MODEL-FEATURE,JJ,JJ,classifier,noun,FALSE,MODEL-FEATURE
PART_WHOLE,NNP,NNS,Presentor,declarative languages,TRUE,USAGE
USAGE,NNS,NN,shift-reduce dependency parsers,Chine language,FALSE,PART_WHOLE
PART_WHOLE,NN,NNS,semantically unmarked term,antonymous adjectives,FALSE,MODEL-FEATURE
COMPARE,NN,NNS,model,MT systems,FALSE,MODEL-FEATURE
USAGE,NN,NN,graphical model,machine translation task,FALSE,USAGE
RESULT,NN,NN,accuracy,topic information,TRUE,RESULT
USAGE,NN,NNS,linguistic representation,language processing systems,FALSE,MODEL-FEATURE
MODEL-FEATURE,NN,NNS,similarity,word vectors,TRUE,MODEL-FEATURE
USAGE,NN,NN,output,phone-string classifier,TRUE,MODEL-FEATURE
MODEL-FEATURE,NN,NN,grammaticality,system output,FALSE,USAGE
USAGE,NN,NN,text,corpus,FALSE,PART_WHOLE
PART_WHOLE,NN,NNP,pronominal anaphora resolution module,Lucy,FALSE,PART_WHOLE
COMPARE,NNS,NN,automatic evaluation measures,human judgment,FALSE,PART_WHOLE
MODEL-FEATURE,NNS,NNP,regular languages,formal intersections of FSAs,TRUE,PART_WHOLE
PART_WHOLE,NNS,NNS,grammars,regular expressions,TRUE,USAGE
MODEL-FEATURE,NN,NNP,computational complexity,SMT,FALSE,PART_WHOLE
PART_WHOLE,NN,NNS,email communication,utterances,FALSE,MODEL-FEATURE
COMPARE,NNS,NNS,SMT models,WSD models,FALSE,MODEL-FEATURE
RESULT,NN,NN,pos tag ambiguity,ccg supertagging,FALSE,USAGE
USAGE,NNS,NNS,clustering and filtering processes,electronic newsgroup discussions,FALSE,MODEL-FEATURE
MODEL-FEATURE,NNS,NNP,recordings,Southern Min Chinese,TRUE,PART_WHOLE
PART_WHOLE,NNS,NNP,definitions,Longman Dictionary of Contemporary English,FALSE,PART_WHOLE
MODEL-FEATURE,NNS,NNS,syntactic descriptions,restrictive statements,TRUE,MODEL-FEATURE
USAGE,NN,NN,punctuation,discourse processing,FALSE,PART_WHOLE
MODEL-FEATURE,NN,NNS,distance,concepts,FALSE,MODEL-FEATURE
USAGE,NNS,NNS,referring expressions,objects,FALSE,MODEL-FEATURE
USAGE,NN,NNS,spelling correction,agglutinative languages,FALSE,USAGE
USAGE,NN,NN,visualization method,MT system,FALSE,PART_WHOLE
PART_WHOLE,NNS,NNS,databases,proper names,TRUE,MODEL-FEATURE
USAGE,NNP,NN,CSR,mobile military command and control,FALSE,USAGE
MODEL-FEATURE,NN,NN,discourse level,annotation,FALSE,USAGE
USAGE,NN,NN,robust explanation system,large-scale knowledge base,TRUE,USAGE
COMPARE,NNP,NNP,GPSG,LT,FALSE,COMPARE
PART_WHOLE,NNS,NN,phrase translations,suffix array-based data structure,FALSE,PART_WHOLE
MODEL-FEATURE,NN,NN,likelihood,variable,FALSE,USAGE
USAGE,NN,NNS,treebank,theoretical linguistic investigations,FALSE,COMPARE
COMPARE,NN,NN,base parser,Collins (2000) reranker,FALSE,USAGE
MODEL-FEATURE,NNS,NNS,subtrees,phrases,FALSE,PART_WHOLE
PART_WHOLE,NNS,NN,phrases,word-aligned corpora,FALSE,PART_WHOLE
USAGE,NNS,NN,backwards transliterations,machine,TRUE,PART_WHOLE
COMPARE,NN,NN,characters-based Chinese collocation system,word-based system,FALSE,USAGE
MODEL-FEATURE,NNS,NN,features, Markov model,TRUE,MODEL-FEATURE
USAGE,NN,NN,sentence retrieval problem,"""stochastic"," graph-based method""",TRUE,RESULT
COMPARE,NN,NN,textual domain,open-domain question answering,FALSE,USAGE
MODEL-FEATURE,NN,NNS,internal and contextual information,domain specific terms,FALSE,MODEL-FEATURE
USAGE,NN,NN,unsupervised training,phone n-gram model,FALSE,USAGE
RESULT,NN,NN,technique,paraphrase classification accuracy,FALSE,USAGE
TOPIC,NN,NNS,entailment acquisition,"""asymmetric", or directional," relations""",FALSE,COMPARE
COMPARE,NN,NN,transfer phase,interlingual approach,FALSE,USAGE
USAGE,NN,NNP,sense resolution,WordNet,TRUE,PART_WHOLE
PART_WHOLE,NNS,NNS,Metagrammatical formalisms,context-free phrase structure rules,TRUE,MODEL-FEATURE
MODEL-FEATURE,JJ,NNS,labeled directed graph,linguistic structures,FALSE,COMPARE
USAGE,NNS,NN,Path-based inference rules,binary relational calculus notation,TRUE,PART_WHOLE
PART_WHOLE,NNS,NN,terms,corpora,FALSE,PART_WHOLE
COMPARE,NN,NNS,spectral clustering based approach,clustering methods,FALSE,MODEL-FEATURE
USAGE,NN,NN,laboratory study,Wizard of Oz technique,TRUE,USAGE
USAGE,NNS,NN,statistical learning mechanisms,cognitive psychology,FALSE,PART_WHOLE
USAGE,NNS,NN,grammar coverage problems,fully-connected first-order statistical class grammar,TRUE,PART_WHOLE
MODEL-FEATURE,NN,NNS,domain dependence,WSD programs,FALSE,MODEL-FEATURE
PART_WHOLE,NNS,JJ,quantifying noun groups,German,FALSE,USAGE
USAGE,NN,NNS,explanation generation,"""semantically rich"," large-scale knowledge bases""",TRUE,COMPARE
COMPARE,NN,NN,morphology,word order,FALSE,USAGE
USAGE,JJ,NN,subcategorization dictionary,textual corpora,TRUE,RESULT
RESULT,NNS,NN,training speakers,word error rate,FALSE,PART_WHOLE
USAGE,NN,NN,natural language processing,spoken language understanding,FALSE,USAGE
PART_WHOLE,NNS,NN,sentential paraphrases,paraphrase class,FALSE,PART_WHOLE
PART_WHOLE,NNS,JJ,sentences,abstract,FALSE,PART_WHOLE
USAGE,NN,NN,lexicalized grammar,domain,FALSE,USAGE
COMPARE,NN,NNS,trainable sentence planner,rule-based systems,FALSE,MODEL-FEATURE
COMPARE,NNS,NNS,rules,Horn clauses,FALSE,USAGE
COMPARE,NN,NN,transfer phase,analysis,FALSE,USAGE
PART_WHOLE,NN,NNS,corpus,sentences,TRUE,MODEL-FEATURE
MODEL-FEATURE,NN,NNS,number,nouns,FALSE,MODEL-FEATURE
USAGE,NN,NNS,oral communication,indices,FALSE,MODEL-FEATURE
COMPARE,NNS,NNS,useful terms,query terms,FALSE,MODEL-FEATURE
MODEL-FEATURE,NNP,NN,LFG,completeness,TRUE,USAGE
RESULT,NN,NNS,predictive performance,models,TRUE,USAGE
PART_WHOLE,NN,NNS,automatically acquired parallel corpus,English-French document pairs,TRUE,USAGE
USAGE,NN,NNS,semantic information,syntactic cues,TRUE,USAGE
USAGE,NN,NN,domain independent model,automated interpretation,FALSE,USAGE
MODEL-FEATURE,NNS,NNS,heuristic principles,probabilistic Horn clauses,TRUE,MODEL-FEATURE
USAGE,NN,NNS,black-box methodology,question-answering NL systems,FALSE,MODEL-FEATURE
USAGE,NN,NN,segment-based approach,phonetic recognition,FALSE,USAGE
USAGE,NNS,NN,training data,language modeling,FALSE,PART_WHOLE
USAGE,NN,NN,Combinatory Categorial Grammar (CCG) lexicon,Turkish dependency treebank,TRUE,USAGE
RESULT,NN,NNP,precision rate,ILIMP,TRUE,USAGE
USAGE,NN,NN,part-of-speech tagging,statistical and constraint-based disambiguation,TRUE,USAGE
COMPARE,NN,NN,measure,human judgment,FALSE,USAGE
MODEL-FEATURE,NNS,NN,domain independent features,input dataset,FALSE,PART_WHOLE
MODEL-FEATURE,NNS,NN,domain-independent capabilities,Paramax spoken language understanding system,FALSE,PART_WHOLE
USAGE,NN,NN,computational model,discourse task,FALSE,MODEL-FEATURE
MODEL-FEATURE,NN,VBG,computational theory,human plausible reasoning,FALSE,RESULT
USAGE,NN,NNS,recognizer,bigram back-off language models,TRUE,USAGE
USAGE,NNS,NNS,evaluation metrics,Machine Translation (MT) systems,FALSE,MODEL-FEATURE
MODEL-FEATURE,NN,NN,parse record,utterance,FALSE,MODEL-FEATURE
USAGE,NN,NN,unsupervised learning,syntactic information,TRUE,USAGE
PART_WHOLE,NN,NNP,English-Chinese bitexts,Web,FALSE,PART_WHOLE
USAGE,NN,NNP,parsing method,GPSG,FALSE,PART_WHOLE
USAGE,NN,NN,text mining method,distributional hypothesis,TRUE,USAGE
MODEL-FEATURE,NNS,NNS,computational problems,probabilistic translation models,FALSE,MODEL-FEATURE
PART_WHOLE,NN,NNS,Japanese script,ideograms,TRUE,USAGE
COMPARE,NN,NN,ranking algorithm,lattice-based approach,FALSE,USAGE
USAGE,NNP,NN,Hidden Markov Model,corpus,FALSE,PART_WHOLE
PART_WHOLE,NN,NN,flexible parser,grammar,TRUE,RESULT
MODEL-FEATURE,NN,NN,entity-based representation,discourse,FALSE,MODEL-FEATURE
COMPARE,NNP,NN,CMU,SRI toolkit,FALSE,USAGE
MODEL-FEATURE,NNS,NNS,features,electronic discussions,FALSE,MODEL-FEATURE
PART_WHOLE,NNS,NNS,blocks,source interval projections,FALSE,MODEL-FEATURE
MODEL-FEATURE,VBZ,JJ,edges,semantic,TRUE,TOPIC
MODEL-FEATURE,NNS,NN,CFG parsers,time,TRUE,PART_WHOLE
USAGE,NNP,NNP,Unification Categorial Grammar,Machine Translation,FALSE,COMPARE
USAGE,NN,NNS,generalized translation knowledge,paraphrases,TRUE,MODEL-FEATURE
USAGE,VBG,NNS,multi-strategy and multi-source approach to question answering,answering agents,TRUE,USAGE
USAGE,VBG,NN,pragmatics processing,abductive inference,TRUE,RESULT
USAGE,NNS,NN,natural language processing (NLP) systems,text understanding,FALSE,PART_WHOLE
USAGE,NN,NNS,Expectation-Maximization (EM) algorithm,text classification problems,FALSE,MODEL-FEATURE
USAGE,NN,NNS,syntactic information,derivations,FALSE,MODEL-FEATURE
MODEL-FEATURE,NNS,VBP,meta-inference types,inference,FALSE,COMPARE
RESULT,NN,NN,approximation error,language model,TRUE,USAGE
USAGE,NN,NN,unification-based grammar,multidimensional chart parser,FALSE,USAGE
PART_WHOLE,NN,NN,NLP system,linguistic PoS tagger and chunker,TRUE,USAGE
MODEL-FEATURE,NNS,NNS,words,similar context features,TRUE,PART_WHOLE
COMPARE,NN,NN,task-specific domain knowledge,general linguistic knowledge,FALSE,USAGE
MODEL-FEATURE,NNS,NN,topics,texts,FALSE,MODEL-FEATURE
USAGE,NN,NNS,Chinese word sense disambiguation model,translation candidates,FALSE,MODEL-FEATURE
MODEL-FEATURE,NN,NNS,corpora,languages,TRUE,USAGE
RESULT,NNS,NNS,MT evaluation techniques,features,FALSE,USAGE
USAGE,NN,NN,chart-based phrase structure parsing,natural language,FALSE,MODEL-FEATURE
PART_WHOLE,NNS,NN,multiple and nested interactions,sentence,FALSE,MODEL-FEATURE
USAGE,NNS,NN,automated evaluation techniques,output,FALSE,PART_WHOLE
USAGE,NN,NN,decoding strategy,Minimum Bayes-Risk framework,TRUE,USAGE
TOPIC,NN,NNS,DARPA Spoken Language Systems (SLS) program,SLS systems,FALSE,MODEL-FEATURE
MODEL-FEATURE,NNS,NNS,relations,representations,FALSE,PART_WHOLE
USAGE,NNS,VBG,candidates,understanding,FALSE,USAGE
USAGE,NN,NNS,Node-based inference,node structures,TRUE,USAGE
USAGE,NNS,NNS,text applications,common text processing modules,TRUE,MODEL-FEATURE
MODEL-FEATURE,NN,NN,grammar sensu stricto,treebank,TRUE,USAGE
USAGE,NN,NN,translation,word sense disambiguation,TRUE,USAGE
PART_WHOLE,NN,NNS,parallel corpus,Chinese words,TRUE,USAGE
PART_WHOLE,NNS,NN,grammatical relations,output,FALSE,PART_WHOLE
COMPARE,NNP,NNS,HDAG Kernel,kernel functions,FALSE,COMPARE
USAGE,NNS,NNS,conventional statistical methods,large corpora,TRUE,MODEL-FEATURE
USAGE,NN,NN,"""context-sensitive"," phrase structure grammar""","""best-path", bottom-up," deterministic parser""",FALSE,RESULT
TOPIC,NN,NN,system response,natural language generation community,TRUE,USAGE
MODEL-FEATURE,NNS,NN,inflected forms,ambiguous word,FALSE,PART_WHOLE
USAGE,NN,NN,out-of-domain corpus,in-domain word alignment,FALSE,USAGE
USAGE,NNS,NNS,knowledge-based and random selection procedures,language modeling tasks,FALSE,MODEL-FEATURE
MODEL-FEATURE,NN,NN,sentence-level and text-level anaphora,dependency-based grammar model,TRUE,USAGE
RESULT,NN,NN,system,state-of-the-art performance,FALSE,USAGE
USAGE,NN,NNS,class-oriented framework,paraphrase examples,FALSE,MODEL-FEATURE
USAGE,NN,NNS,generative model,features,TRUE,USAGE
MODEL-FEATURE,NNS,NNS,data representations,noun phrase chunks,FALSE,MODEL-FEATURE
MODEL-FEATURE,NN,NN,meaning,source language text,FALSE,MODEL-FEATURE
RESULT,NN,NN,typicality,human cognition,FALSE,USAGE
PART_WHOLE,NNS,NN,languages,morphology,TRUE,MODEL-FEATURE
MODEL-FEATURE,NN,NN,expression,meaning,TRUE,MODEL-FEATURE
MODEL-FEATURE,NN,NN,coherence assessment,ranking learning problem,TRUE,USAGE
PART_WHOLE,NN,NNS,monolingual parallel corpora,paraphrases,TRUE,MODEL-FEATURE
MODEL-FEATURE,NNS,NNS,training data,emoticons,TRUE,MODEL-FEATURE
